mirna,P35,P88,P129,P167,P190,P276,P303,P337,P385,P391,P444,P449,P452,P465,P489,P491,P504,P507,P517,P520,P524,P531,P536,P540,P546,P551,P554,P587,P597,P606,P627,P638,P676,P680,P694,P727,P737,A158,A189,A223,A233,A254,A308,A319,A336,A346,A350,A426,A512,A534,A557,A607,A618,A640,A642,A649,A655,A686,A695,A700,A717,A721,A724,A734,A747,A755,A758,A766,A781,A790
hsa-miR-6736-5p,0,0,0.263966921848105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19511529577207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202728142636576,0,0,0,0.3924206677578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-450a-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461012752540029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29043363474564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4755-3p,0,0.752966642085233,0.527933843696209,1.44937106813279,0.797041678806714,0.906466489307754,0,0,0,0,0.110455714471651,0,0,0,0,0,0,0,0.461012752540029,0.19511529577207,0,0.489299102103449,0,0.877172920960999,2.70673766109431,0,0.694613102630794,0.438753855608769,0.652608115321589,2.17033031107964,0.673436884786365,0,1.8285999352116,0.669746724954485,0,0,0,0.608184427909727,1.70244728176171,0,1.29043363474564,0.1962103338789,0,4.62636391748671,0.903594935875945,0.360024829260384,0,0,0,0,0,0.364870414016169,0.637140469417285,0,0,0,1.28035746175634,1.68994361403162,0,9.39283752138496,0,0,0,0,0,0,9.36207546244686,0,34.6412709108916,2.34480277543972
hsa-miR-4659a-3p,0,0,0,0,0,0,0,0,0,0,0.110455714471651,0,0,0,0,0,0,0,0,1.9511529577207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279400129999886,0,0,0.202728142636576,0,0,0,0,0,0,0,0,0,0,0.384620336209547,0,0,0,0,0,0,0,0,0,0.434537463895555,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6788-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09461124204851,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10270359415196,0,0,0,0
hsa-miR-3127-3p,0,0.188241660521308,0.263966921848105,0.724685534066395,2.39112503642014,0.906466489307754,0,0,4.66885025380606,0,0,0,0.810365430982457,0,3.18944728135672,0,0,0,0,0,0,0,0,0,0,0,0.694613102630794,0.0731256426014616,0.326304057660795,0,0,0.725838875190221,0,0,0,0,0,1.01364071318288,1.1349648545078,0,0.645216817372818,0.1962103338789,0,0,0.903594935875945,0.360024829260384,0,0.627514317531794,0,0,0.874502078767881,0,0,0,0,0,0,0,0,9.39283752138496,0,0,0,0,0.387000606784176,0,1.87241509248937,0,0,0
hsa-miR-4746-5p,14.8914405934056,3.95307487094747,4.48743767141778,8.69622640879675,8.76745846687385,9.06466489307754,3.61851535559565,6.98363151244762,9.33770050761212,0,0.552278572358257,0.195515815857248,0,0.477903319945233,0,1.62622263103804,0,4.38347412619899,1.38303825762009,0,0,0.489299102103449,1.2408480791965,2.631518762883,0,0,4.16767861578476,0.658130783413154,0.978912172982384,0,2.69374753914546,0,2.74289990281741,1.33949344990897,0.0931333766666287,0,0,4.86547542327782,5.67482427253902,51.9001284905763,7.09738499110099,8.6332546906716,0,1.5421213058289,3.61437974350378,3.96027312186422,5.62598944205538,15.0603436207631,1.53848134483819,6.67711459413647,2.91500692922627,0.364870414016169,0.318570234708643,1.98858826344522,2.66370967858923,0,0,5.06983084209485,7.82167435011999,23.4820938034624,0,19.277955545599,9.26992647553158,10.7218702598194,6.579010315331,8.41081437660784,1.87241509248937,2.89646314437314,0,16.413619428078
hsa-miR-6825-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1349648545078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3934-5p,0,0.188241660521308,0.263966921848105,0,0,0,0,0,0,0,0.331367143414954,0.391031631714495,0,0,0,0,0,0,1.38303825762009,0,0,0,0,0,0,0,0,0.0731256426014616,0.652608115321589,0,2.02031065435909,1.45167775038044,0,0,0,0,0,0,0,0,0,0.1962103338789,0,0,0.903594935875945,0,0,0,0,0,0,0,0,0,2.66370967858923,0,0,0,0,0,0,0,0,3.57395675327313,0,0,1.87241509248937,0,0,0
hsa-miR-331-3p,0,10.7297746497146,37.2193359805828,21.7405660219919,8.76745846687385,10.877597871693,9.64937428158839,3.49181575622381,4.66885025380606,8.98623492170713,3.53458286309285,0.977579079286238,0,0.477903319945233,0,1.08414842069203,0,0,4.14911477286026,0.975576478860352,9.84371857475197,2.9357946126207,0,4.385864604805,4.06010649164147,7.63786645283438,12.5030358473543,3.87565905787746,0.978912172982384,3.25549546661946,2.69374753914546,0,4.57149983802901,2.67898689981794,0.838200389999659,0,0,6.48730056437042,10.7821661178241,0,45.81039403347,34.5330187626864,8.86850994390984,0,5.42156961525567,3.96027312186422,3.75065962803692,9.41271476297691,10.0001287414482,2.22570486471216,3.49800831507152,2.55409289811319,2.2299916429605,0,2.66370967858923,0,2.56071492351267,5.06983084209485,8.6907492779111,9.39283752138496,0,0,4.63496323776579,0,1.16100182035253,0,1.87241509248937,2.89646314437314,0,2.34480277543972
