mirna,Patient_1,Control_10,Control_11,Patient_13,Patient_14,Patient_15,Patient_16,Patient_17,Patient_18,Patient_2,Control_20,Control_21,Control_22,Patient_25,Patient_26,Patient_27,Patient_28,Patient_29,Patient_3,Patient_30,Control_31,Control_33,Control_34,Control_35,Patient_37,Patient_38,Patient_39,Patient_4,Patient_40,Patient_41,Patient_42,Patient_43,Control_44,Control_45,Control_46,Control_47,Control_49,Patient_5,Control_50,Patient_6,Control_7,Control_9
hsa-miR-1304-3p,25,0,0,53,16,5,18,1,0,66,0,1,0,3,2,10,5,5,18,6,17,1,0,0,0,0,0,44,0,0,7,1,0,0,0,0,0,40,0,1,1,0
hsa-miR-1304-5p,2,3,3,0,8,11,5,0,3,14,0,1,0,0,4,9,4,10,0,2,1,3,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,9,0,3,0,0
hsa-miR-1306-3p,14,3,0,23,9,4,3,5,3,27,0,2,1,1,5,7,3,2,16,6,18,15,1,0,0,0,2,21,7,1,7,0,0,0,0,0,0,28,0,3,5,5
hsa-miR-1306-5p,3,1,6,16,5,1,1,0,3,9,0,1,0,1,5,1,6,4,0,2,37,12,0,3,0,0,0,3,1,0,15,0,3,0,2,0,6,9,1,14,0,7
hsa-miR-1307-3p,1772,245,227,2525,843,684,785,462,756,3042,98,153,129,362,499,1006,143,510,2799,415,538,437,7,23,172,5,309,2365,308,71,812,132,67,41,38,4,14,2325,16,1135,208,392
hsa-miR-1307-5p,61,2,8,36,13,2,4,2,11,49,3,3,0,3,4,2,6,3,48,8,0,7,0,1,0,0,1,81,1,0,0,0,0,0,0,0,0,74,0,3,9,1
hsa-miR-130a-3p,71,13,2,46,10,9,21,14,18,66,0,11,0,10,13,2,8,12,18,6,21,9,0,0,0,0,0,111,0,2,1,0,0,0,1,0,1,79,2,32,1,14
hsa-miR-130b-3p,9,0,6,12,4,0,10,6,5,18,8,3,0,0,4,2,1,1,5,3,0,3,0,0,0,0,0,18,0,0,1,1,0,0,0,1,0,6,0,1,0,5
hsa-miR-130b-5p,127,10,9,297,97,70,72,65,84,372,3,17,3,55,56,55,7,55,145,67,53,39,0,3,5,2,19,347,28,0,17,14,0,3,1,0,0,272,0,47,3,7
hsa-miR-132-3p,24,0,0,12,0,4,2,1,2,35,0,1,0,0,0,4,4,2,10,1,3,1,0,0,0,0,0,42,0,2,3,3,0,0,0,0,0,24,0,2,0,6
hsa-miR-132-5p,11,0,2,0,2,1,0,0,2,14,0,1,0,0,0,1,1,2,5,1,0,3,1,1,0,0,1,9,0,0,0,0,0,0,9,0,0,14,0,0,4,0
hsa-miR-133a-3p,39,0,0,0,2,2,1,1,0,32,0,3,0,0,2,0,0,0,60,3,24,1,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,34,0,0,0,15
hsa-miR-133b,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1343-3p,9,0,0,0,6,0,2,0,1,4,0,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,0,12,4,0,9,3,0,0,0,0,0,2,0,2,0,0
hsa-miR-134-3p,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-134-5p,741,73,44,413,380,500,203,158,296,2179,148,65,44,215,334,173,21,202,2275,120,60,81,0,5,29,3,175,590,125,25,287,44,39,2,7,0,0,3551,3,379,229,143
hsa-miR-135a-3p,3,0,0,1,0,0,4,1,0,9,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-135a-5p,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-136-3p,13,0,0,0,2,4,5,0,2,44,0,0,1,0,4,4,2,8,6,1,13,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,37,0,0,16,0
hsa-miR-136-5p,20,8,0,0,10,6,4,1,12,53,0,1,0,2,4,2,3,12,7,0,0,2,0,0,0,0,1,40,4,0,0,0,0,0,0,0,0,78,0,0,11,0
hsa-miR-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-138-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-138-5p,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-139-3p,180,50,65,377,189,117,119,68,171,941,7,23,25,41,117,77,29,137,441,119,221,78,2,6,50,1,62,787,87,8,95,47,22,4,1,4,5,592,2,240,47,64
hsa-miR-139-5p,503,26,109,602,182,61,102,78,116,2820,5,43,8,35,140,93,37,196,538,138,191,97,2,3,9,1,28,1690,46,4,83,23,9,8,3,0,2,1144,3,201,10,87
hsa-miR-1-3p,15,0,2,1,1,42,2,29,17,84,0,1,0,2,3,9,8,7,42,1,0,62,1,2,0,0,0,28,1,0,0,0,0,2,0,0,0,36,1,5,0,4
hsa-miR-140-3p,8458,648,847,4778,944,886,1229,705,913,12957,38,398,82,572,478,688,700,1035,4831,718,2091,2736,32,91,51,6,125,9640,105,15,389,53,50,37,27,10,29,6433,9,1189,208,1022
hsa-miR-140-5p,149,10,18,78,27,12,32,11,27,167,0,6,0,3,8,9,22,14,49,8,17,61,0,0,0,0,1,203,0,0,0,0,0,3,1,0,0,105,0,16,0,1
hsa-miR-141-3p,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-142-3p,154,1,3,16,16,6,15,8,19,190,0,4,0,6,15,30,14,18,44,10,5,33,0,0,0,0,4,254,2,1,18,0,0,0,1,0,0,170,0,15,4,1
hsa-miR-142-5p,312,41,72,193,59,25,59,33,47,363,7,51,8,16,20,44,51,69,98,39,381,305,7,21,2,0,13,569,1,4,0,7,1,1,4,3,0,471,0,30,17,63
hsa-miR-143-3p,2362,44,187,1879,640,223,235,437,471,2663,42,113,10,318,337,312,147,382,1600,152,684,1003,22,26,42,4,162,986,130,25,54,14,16,14,25,0,9,2516,15,427,82,278
hsa-miR-143-5p,13,0,4,0,4,1,3,0,3,10,0,0,0,2,0,1,0,1,6,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0
hsa-miR-144-3p,54,29,24,15,164,45,29,24,61,73,6,14,2,13,27,56,166,77,32,32,287,615,7,18,9,0,8,51,5,0,1,21,4,3,1,2,0,58,0,67,19,34
hsa-miR-144-5p,1,0,3,0,19,2,8,1,0,5,0,0,0,1,4,7,3,13,0,1,17,37,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,5,1,1
